	Temp	NH4	NO3	OD	Prof	Trans	Caud	SST	STD	PO4	DBO5	DQO
S1	16.9	0.78	1.83	7.5	27	30	1.01	10	86.9	0.6	23.27	29
S2	17.2	0.75	2.44	6.05	56	56	0.68	4	87.9	0.4	24.11	5
S3	17.4	1.25	1.6	5.84	37	29	1.53	6.5	101.5	0.6	20.63	15
S4	18	0.54	2.95	7.65	122	50	2.46	4.5	91.7	0.7	25.19	7
S5	19.2	0.88	2.7	4.07	137	18	6.58	50	95.7	0.2	24.83	16
S6	19.3	0.98	2.5	3.74	168	18	8.42	21	102.2	0.57	23.09	7
S7	19.6	0.9	1.53	3.61	148	15	6.2	112	104.1	0.87	21.17	18
S8	17.5	0.97	3.96	8.01	45	6	3.31	1163.333333	104.1	0	23.27	52
S9	18.2	0.95	3.12	6.57	134	5	10.52	298.6666667	104.4	0	59.82	62
S10	18.6	0.98	2.55	4.61	174	5	7.66	572	104.3	0	35.53	23
S11	19.6	1.09	4.21	4.67	79	7	8.1	649	104.3	0.25	35.08	49
S12	24.2	0.7	2.18	3.72	155	52	0.52	599	95.4	0.55	21.23	18
S13	20.4	1.03	3.34	3.37	199	4	5.58	94	109.2	0	21.29	32
S14	20.8	1.08	3.53	3.8	96	6	1.96	607.5949367	107.6	0.25	34.45	43
S15	20.6	0.9	2.05	2.65	76	10	4.64	134	113.7	0.6	22.73	35
S16	21.4	1.56	1.1	2.24	84	13	6.93	88.75	129.1	0.57	20.21	14
S17	24.4	1.36	0.4	1.34	42	17	0.84	88	137.7	0.45	20.45	36
S18	21.2	0.98	2.58	3.97	131	8	4.19	234.6153846	108	0.3	22.79	50
S19	22.5	1.57	0.44	1.03	125	7	13.28	160	129.5	0.8	30.34	53
S20	23.8	1.4	2.13	0.91	78	8	15.44	153.3333333	136.6	0.25	32.62	61
S21	25.8	1.34	3.13	0.81	176	6	13.57	290	129.2	0.25	34.3	58
